timestamp,hour,day_of_week,month,is_weekend,temperature,humidity,wind_speed,cloud_cover,rain_probability,solar_irradiance,solar_power,wind_power,total_load,academic_load,lab_load,library_load,hostel_load,canteen_load,ev_load,anomaly_score,anomaly_type,battery_soc,battery_action,grid_import,grid_export,grid_dependency,renewable_share,co2_avoided
2026-06-11T00:00:00,0,3,6,False,28.46,70.97,2.17,0.361,0.217,0.0,0.0,1.401,3.558,0.94,0.638,0.168,1.497,0.315,0.0,0.0,,70.32,DISCHARGING,2.157,0.0,60.62,39.38,1.149
2026-06-11T01:00:00,1,3,6,False,29.59,67.55,4.14,0.361,0.217,0.0,0.0,4.258,3.87,1.028,0.711,0.104,1.632,0.395,0.0,0.0,,71.25,CHARGING,0.0,0.388,0.0,100.0,3.492
2026-06-11T02:00:00,2,3,6,False,28.79,73.33,3.46,0.361,0.217,0.0,0.0,3.169,4.131,1.13,0.76,0.237,1.562,0.443,0.0,0.0,,68.71,DISCHARGING,0.962,0.0,23.29,76.71,2.599
2026-06-11T03:00:00,3,3,6,False,33.56,64.66,4.09,0.361,0.217,0.0,0.0,4.196,3.949,1.426,0.566,0.116,1.376,0.465,0.0,0.0,,69.3,CHARGING,0.0,0.247,0.0,100.0,3.441
2026-06-11T04:00:00,4,3,6,False,33.11,63.89,5.17,0.361,0.217,0.0,0.0,5.012,4.336,1.244,0.861,0.222,1.602,0.407,0.0,0.0,,70.91,CHARGING,0.0,0.676,0.0,100.0,4.11
2026-06-11T05:00:00,5,3,6,False,34.36,59.93,5.44,0.361,0.217,0.0,0.0,4.953,3.806,1.072,0.517,0.349,1.37,0.497,0.0,0.0,,73.63,CHARGING,0.0,1.147,0.0,100.0,4.061
2026-06-11T06:00:00,6,3,6,False,33.48,68.03,4.73,0.361,0.217,0.0,0.0,5.071,3.417,1.359,0.495,0.154,1.029,0.381,0.0,0.0,,77.56,CHARGING,0.0,1.654,0.0,100.0,4.158
2026-06-11T07:00:00,7,3,6,False,36.16,62.62,4.03,0.361,0.217,170.44,1.48,4.052,5.353,1.338,0.472,0.216,1.358,1.969,0.0,0.0,,77.98,CHARGING,0.0,0.179,0.0,100.0,4.536
2026-06-11T08:00:00,8,3,6,False,40.69,65.4,4.2,0.361,0.217,329.27,2.756,4.188,10.293,4.097,0.459,2.001,1.69,2.045,0.0,0.0,,69.17,DISCHARGING,3.349,0.0,32.54,67.46,5.694
2026-06-11T09:00:00,9,3,6,False,42.65,65.1,4.34,0.361,0.217,465.66,3.889,4.345,13.533,3.711,5.603,1.9,2.01,0.309,0.0,0.0,,55.23,DISCHARGING,5.299,0.0,39.16,60.84,6.752
2026-06-11T10:00:00,10,3,6,False,42.36,65.44,5.04,0.361,0.217,570.31,4.847,4.907,21.243,3.959,5.715,1.966,2.376,0.227,7.0,0.0,,28.91,DISCHARGING,11.489,0.0,54.08,45.92,7.998
2026-06-11T11:00:00,11,3,6,False,44.38,64.25,3.71,0.361,0.217,636.1,5.128,3.577,22.091,3.894,6.07,2.002,2.749,0.376,7.0,0.0,,20.0,DISCHARGING,13.386,0.0,60.59,39.41,7.138
2026-06-11T12:00:00,12,3,6,False,42.46,68.32,3.14,0.361,0.217,658.54,5.663,2.87,23.922,4.071,6.439,1.881,2.623,1.907,7.0,0.0,,20.0,HOLD,15.389,0.0,64.33,35.67,6.997
2026-06-11T13:00:00,13,3,6,False,43.14,70.39,1.38,0.361,0.217,636.1,5.286,0.664,24.439,3.797,6.094,2.084,3.173,2.291,7.0,0.0,,20.0,HOLD,18.489,0.0,75.65,24.35,4.879
2026-06-11T14:00:00,14,3,6,False,43.55,56.56,1.21,0.361,0.217,570.31,4.777,0.583,15.263,3.917,5.816,1.986,3.128,0.416,0.0,0.0,,20.0,HOLD,9.903,0.0,64.88,35.12,4.395
2026-06-11T15:00:00,15,3,6,False,41.42,58.85,0.76,0.361,0.217,465.66,3.878,0.324,15.698,4.354,6.039,2.098,2.925,0.282,0.0,0.0,,20.0,HOLD,11.496,0.0,73.23,26.77,3.446
2026-06-11T16:00:00,16,3,6,False,38.55,77.86,0.69,0.361,0.217,329.27,2.757,0.369,15.478,3.819,6.279,2.038,2.945,0.396,0.0,0.0,,20.0,HOLD,12.352,0.0,79.8,20.2,2.563
2026-06-11T17:00:00,17,3,6,False,37.09,64.94,1.43,0.361,0.217,170.44,1.424,0.723,15.808,4.035,6.474,2.016,2.856,0.429,0.0,0.0,,20.0,HOLD,13.661,0.0,86.42,13.58,1.761
2026-06-11T18:00:00,18,3,6,False,37.96,65.16,1.18,0.361,0.217,0.0,0.0,0.68,16.918,4.307,6.055,1.878,2.513,2.165,0.0,0.0,,20.0,HOLD,16.238,0.0,95.98,4.02,0.558
2026-06-11T19:00:00,19,3,6,False,36.51,65.3,0.92,0.361,0.217,0.0,0.0,0.334,16.466,3.821,6.193,1.961,2.508,1.984,0.0,0.0,,20.0,HOLD,16.132,0.0,97.97,2.03,0.274
2026-06-11T20:00:00,20,3,6,False,32.51,67.67,2.39,0.361,0.217,0.0,0.0,1.647,9.5,1.19,5.747,0.078,2.118,0.367,0.0,0.0,,20.0,HOLD,7.853,0.0,82.66,17.34,1.351
2026-06-11T21:00:00,21,3,6,False,31.72,67.37,0.52,0.361,0.217,0.0,0.0,0.157,4.753,1.401,0.761,0.334,1.927,0.33,0.0,0.0,,20.0,HOLD,4.596,0.0,96.7,3.3,0.129
2026-06-11T22:00:00,22,3,6,False,28.74,68.1,2.19,0.361,0.217,0.0,0.0,1.634,4.85,1.246,1.355,0.388,1.49,0.371,0.0,0.0,,20.0,HOLD,3.216,0.0,66.31,33.69,1.34
2026-06-11T23:00:00,23,3,6,False,26.08,68.8,2.01,0.361,0.217,0.0,0.0,1.352,2.661,1.069,-0.044,0.184,1.105,0.347,0.0,0.0,,20.0,HOLD,1.309,0.0,49.19,50.81,1.109
2026-06-12T00:00:00,0,4,6,False,26.68,52.84,2.92,0.081,0.049,0.0,0.0,2.714,3.816,0.943,0.271,0.384,1.936,0.283,0.0,0.0,,20.0,HOLD,1.102,0.0,28.88,71.12,2.225
2026-06-12T01:00:00,1,4,6,False,27.72,70.27,3.79,0.081,0.049,0.0,0.0,3.666,3.991,1.355,0.73,0.162,1.48,0.263,0.0,0.0,,20.0,HOLD,0.325,0.0,8.14,91.86,3.006
2026-06-12T02:00:00,2,4,6,False,28.71,62.79,3.79,0.081,0.049,0.0,0.0,3.732,4.192,1.403,0.647,0.235,1.508,0.4,0.0,0.0,,20.0,HOLD,0.46,0.0,10.97,89.03,3.06
2026-06-12T03:00:00,3,4,6,False,29.26,61.14,4.67,0.081,0.049,0.0,0.0,5.157,3.842,1.277,0.371,0.089,1.679,0.426,0.0,0.0,,23.12,CHARGING,0.0,1.315,0.0,100.0,4.229
2026-06-12T04:00:00,4,4,6,False,32.72,66.26,3.34,0.081,0.049,0.0,0.0,2.936,3.836,1.106,0.679,0.205,1.456,0.39,0.0,0.0,,20.75,DISCHARGING,0.9,0.0,23.46,76.54,2.408
2026-06-12T05:00:00,5,4,6,False,33.55,68.98,5.05,0.081,0.049,0.0,0.0,4.976,3.756,1.235,0.689,0.163,1.236,0.433,0.0,0.0,,23.65,CHARGING,0.0,1.22,0.0,100.0,4.08
2026-06-12T06:00:00,6,4,6,False,38.59,65.95,3.77,0.081,0.049,0.0,0.0,3.658,3.38,0.989,0.5,0.33,0.987,0.573,0.0,0.0,,24.31,CHARGING,0.0,0.278,0.0,100.0,3.0
2026-06-12T07:00:00,7,4,6,False,39.84,70.35,5.28,0.081,0.049,228.88,1.955,5.083,5.186,1.141,0.62,0.13,1.413,1.882,0.0,0.0,,28.71,CHARGING,0.0,1.852,0.0,100.0,5.771
2026-06-12T08:00:00,8,4,6,False,41.17,67.48,4.58,0.081,0.049,442.16,3.778,5.082,9.658,4.146,0.128,1.993,1.442,1.948,0.0,0.0,,26.61,DISCHARGING,0.798,0.0,8.26,91.74,7.265
2026-06-12T09:00:00,9,4,6,False,43.92,58.13,4.92,0.081,0.049,625.31,5.096,5.003,14.171,3.757,5.799,2.031,2.123,0.461,0.0,0.0,,20.0,DISCHARGING,4.072,0.0,28.73,71.27,8.281
2026-06-12T10:00:00,10,4,6,False,39.49,61.99,4.24,0.081,0.049,765.84,6.547,4.532,21.029,3.587,5.823,2.059,2.013,0.548,7.0,0.0,,20.0,HOLD,9.95,0.0,47.32,52.68,9.085
2026-06-12T11:00:00,11,4,6,False,44.28,58.77,4.19,0.081,0.049,854.19,7.21,4.403,21.908,4.047,6.07,2.027,2.379,0.385,7.0,0.0,,20.0,HOLD,10.295,0.0,46.99,53.01,9.523
2026-06-12T12:00:00,12,4,6,False,43.77,66.63,3.31,0.081,0.049,884.32,7.205,2.994,23.824,4.296,5.777,1.918,2.749,2.084,7.0,0.0,,20.0,HOLD,13.625,0.0,57.19,42.81,8.363
2026-06-12T13:00:00,13,4,6,False,43.74,65.91,3.55,0.081,0.049,854.19,7.231,3.393,24.272,4.466,5.938,1.8,3.114,1.954,7.0,0.0,,20.0,HOLD,13.648,0.0,56.23,43.77,8.712
